Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Checkout Blocks Rule Trigger (product.metafields.checkoutblocks.trigger),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Play vehicle propulsion (product.metafields.shopify.play-vehicle-propulsion),Recommended age group (product.metafields.shopify.recommended-age-group),Skill level (product.metafields.shopify.skill-level),Suitable space (product.metafields.shopify.suitable-space),Toy figure features (product.metafields.shopify.toy-figure-features),Toy/Game material (product.metafields.shopify.toy-game-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
07-honda-civic-type-r,07 Honda Civic Type R,"<p><strong>Hot Wheels 2025 Premium '07 Honda Civic Type R</strong>, part of the highly sought-after <strong>Ronin Run II</strong> series from <strong>Car Culture</strong>. This 1:64 scale diecast model features a sleek <strong>white finish</strong>, aggressive Type R styling, and premium detailing that JDM collectors crave.</p>
<p>🔹 Official Hot Wheels Premium – 2025 Release 🔹 Series: Car Culture – Ronin Run II 🔹 Model: 2007 Honda Civic Type R 🔹 Color: White 🔹 Scale: 1:64 🔹 Premium Diecast Construction 🔹 Long Card Packaging 🔹 Ideal for JDM collectors, Honda lovers, and Hot Wheels fans</p>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","",true,Title,Default Title,,,,,,,,,200.0,shopify,1,deny,manual,1850.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/571095826_122145026402851895_4411646993574496_n.jpg?v=1761885530,1,"",false,,,3551,,,,,,,,,,,,,white,push-and-go,3-years-or-older,,,,metal,,kg,,,active
07-honda-civic-type-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/Hot_Wheels_2025_Premium_Ronin_Run_II_07_Honda_Civic_Type_R_White_2_50.webp?v=1761885530,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-honda-civic-type-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/Hot_Wheels_2025_Premium_Ronin_Run_II_07_Honda_Civic_Type_R_White_2_51.webp?v=1761885530,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-honda-civic-type-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/Hot_Wheels_2025_Premium_Ronin_Run_II_07_Honda_Civic_Type_R_White_2_52.webp?v=1761885530,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-honda-civic-type-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/Hot_Wheels_2025_Premium_Ronin_Run_II_07_Honda_Civic_Type_R_White_2_53.webp?v=1761885530,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
99-honda-civic-type-r-hatch-ek9-falken-blue-green-2024-speed-graphics,99 Honda Civic Type R Hatch EK9 Falken Blue Green 2024 Speed Graphics,"<p><span>Bring JDM performance and racing heritage to your collection with the <strong>Hot Wheels 2024 ‘99 Honda Civic Type R EK9</strong> from the <strong>HW Speed Graphics</strong> series. Dressed in the iconic <strong>Falken Tires blue and green livery</strong>, this 1:64 scale diecast captures the spirit of street racing and tuner culture.</span></p>
<p><span>With its detailed body lines, rear wing, and authentic graphics, this long card release is a must-have for Honda fans, JDM collectors, and Hot Wheels enthusiasts alike.</span></p>
<p><span>🔹 Official Hot Wheels 2024 Mainline 🔹 HW Speed Graphics Series – 1/5 🔹 Model: 1999 Honda Civic Type R (EK9) 🔹 Color: Blue &amp; Green Falken Livery 🔹 Scale: 1:64 🔹 Diecast Metal Body 🔹 Long Card Packaging 🔹 Perfect for JDM collectors, Honda lovers, and diecast fans</span></p>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","99 honda civic type r, diecast honda civic, hot wheels 2024, hot wheels blue green civic, hot wheels civic ek9, hot wheels civic type r, hot wheels ek9 2024, hot wheels ek9 blue green, hot wheels falken civic, hot wheels falken livery, hot wheels honda 2024, hot wheels honda collection, hot wheels jdm cars, hot wheels long card, hot wheels speed graphics civic, hot wheels tuner cars, hw speed graphics 2024",true,Title,Default Title,,,,,,,,,200.0,shopify,2,deny,manual,850.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/99HondaCivicTypeRHatchEK9FalkenBlueGreen2024SpeedGraphics0.webp?v=1761885080,1,"",false,,,3551,,,,,,,,,,,,,striped,push-and-go,3-years-or-older,,,,plastic; metal,,kg,,,active
92-honda-civic-eg-hw,92 Honda Civic EG HW,"<p>Celebrate JDM heritage with the Hot Wheels 2024 Mainline D Case release — the iconic <strong>1992 Honda Civic EG</strong> from the <strong>HW J-Imports series</strong>, numbered <strong>95/250</strong>. This 1:64 scale diecast model features a sleek <strong>red finish</strong>, authentic Civic EG styling, and long card packaging, making it a standout for collectors and Honda enthusiasts alike.</p>
<p> </p>
<p>🔹 Official Hot Wheels 2024 Mainline – D Case 🔹 HW J-Imports Series – 4/10 🔹 Model: '92 Honda Civic EG 🔹 Color: Red 🔹 Scale: 1:64 🔹 Long Card Packaging 🔹 Diecast Construction 🔹 Perfect for JDM fans, collectors, and Honda lovers</p>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","92 honda civic hot wheels, diecast honda civic, hot wheels 2024, hot wheels 95/250, hot wheels civic 2024, hot wheels civic eg, hot wheels civic red, hot wheels d case 2024, hot wheels eg hatch, hot wheels eg red, hot wheels honda eg, hot wheels import cars, hot wheels jdm series, hot wheels long card, hot wheels mainline 2024, hot wheels red civic, hw j-imports civic, jdm hot wheels",true,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,450.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/HotWheels-2024HWJ-Imports4_10_92HondaCivicEG95_2500.webp?v=1761883942,1,"",false,,,3551,,,,,,,,,,,,,red,push-and-go,3-years-or-older,,,,plastic; metal,,kg,,,active
17-ford-f-150-raptor-hw-dirt-2025,17 Ford F-150 Raptor HW Dirt 2025,"<p><span>Hot Wheels 2025 Case J release — the iconic <strong>'17 Ford F-150 Raptor</strong> from the <strong>HW Dirt Series</strong>. This 1:50 scale diecast pickup truck features a bold <strong>blue finish</strong>, aggressive detailing, and authentic <strong>Ford Raptor</strong> styling that collectors and off-road enthusiasts will love.</span></p>
<p><span>✅ Brand new and factory-sealed ✅ Official 2025 Hot Wheels Mainline – Case J ✅ Model: 2017 Ford F-150 Raptor ✅ Series: HW Dirt ✅ Color: Blue ✅ Scale: 1:50 ✅ Long Card Packaging ✅ Ideal for collectors, kids, and Ford truck fans</span></p>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Trucks & Construction Vehicles,"","1:50 scale diecast, 2025 hot wheels raptor, case j hot wheels, diecast ford raptor, ford f-150 raptor hot wheels, hot wheels 2025, hot wheels blue truck, hot wheels f150, hot wheels for collectors, hot wheels ford truck, hot wheels long card, hot wheels new release, hot wheels off-road, hot wheels pickup truck, hot wheels raptor 2025, hot wheels toy truck",true,Title,Default Title,,,,,,,,,200.0,shopify,2,deny,manual,450.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/HotWheels2025CaseJ_17FordF-150RaptorHWDirt-InternationalCard_1780_1.webp?v=1761883583,1,"",false,,,3296,,,,,,,,,,,,,blue; striped,push-and-go,3-years-or-older,,,,metal; plastic,,kg,,,active
17-ford-f-150-raptor-hw-dirt-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/HotWheelsNEWCaseJ2025_17FordF-150RaptorHWDirt20250.webp?v=1761883583,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-mustang-funny-car-red-hw,71 Mustang Funny Car Red HW,"<p><span>Celebrate six decades of Mustang legacy with the <strong>2025 Hot Wheels ’71 Mustang Funny Car</strong> in striking red, part of Case H and the Mustang 60th Anniversary lineup. This 1:64 scale diecast model features a bold dragster stance, detailed graphics, and an international card (#175). A must-have for muscle car collectors and Hot Wheels fans, it combines vintage flair with modern packaging appeal.</span></p>
<ul>
<li><span><strong>Model:</strong> ’71 Mustang Funny Car</span></li>
<li><span><strong>Series:</strong> Mustang 60th Anniversary</span></li>
<li><span><strong>Case:</strong> H (2025 Mainline)</span></li>
<li><span><strong>Scale:</strong> 1:64</span></li>
<li><span><strong>Color:</strong> Red</span></li>
<li><span><strong>Material:</strong> Diecast</span></li>
<li><span><strong>Card Number:</strong> #175</span></li>
<li><span><strong>Packaging:</strong> International Card</span></li>
<li><span><strong>Condition:</strong> New, unopened</span></li>
</ul>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","1:64 scale Mustang, 71 Mustang diecast, dragster Hot Wheels car, Hot Wheels Case H 2025, Hot Wheels international card, Hot Wheels Mustang Funny Car, Mustang 60th Anniversary, red Mustang Funny Car, vintage Mustang collectible",true,Title,Default Title,,,,,,,,,200.0,shopify,3,deny,manual,550.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/2025HotWheelsHCaseMustang60th_17571MustangFunnyCarRed0.webp?v=1761818386,1,"",false,,,3551,,,,,,,,,,,,,white; red,push-and-go,3-years-or-older,,,,metal; plastic,,kg,,,active
